sno,description,title,author,publishedAt,source,desc_subjectivity,desc_polarity,titl_subjectivity,titl_polarity
98,Fox News Photo of Donald Trump 'look-alike' in Spain goes viral Fox News Spanish farmer Dolores Leis Antelo has been drawing comparisons to President Donald Trump ever since a photo of her started going viral last week. (Paula Vasquez). Could this be Presiden…,Photo of Donald Trump 'look-alike' in Spain goes viral - Fox News,Katherine Lam,2018-04-25T15:31:29Z,2,0.0333333333,0,0,0
99,"Fox News Trump hosts France's Macron for first state visit; dinner menu, guest list still secret Fox News President Trump next week will host French President Emmanuel Macron at the White House, marking the first state visit since Trump took office last year.…","Trump hosts France's Macron for first state visit; dinner menu, guest list still secret - Fox News",Fox News,2018-04-21T18:20:56Z,2,0.2047619048,0.0142857143,0.5166666667,-0.075
100,SDSU class focused on impeaching Trump,College course focuses on removing Trump from office,,2018-02-27T15:02:09Z,2,0,0,0,0
101,"Not since Richard Nixon started talking to the portraits on the walls of the West Wing has a president seemed so alone against the world, writes Gloria Borger. Trump's allies are worried.",Trump: The great unraveling,"Gloria Borger, CNN Chief Political Analyst",2018-03-02T12:17:32Z,1,0,0,0.75,0.8
102,"Paints them as anti-black, anti-women.",Hillary rips Trump voters,,2018-03-19T14:31:32Z,2,0,0,0,0
103,Key Republicans on Sunday warned President Donald Trump not to interfere with special counsel Robert Mueller.,Republicans warn Trump,"Eli Watkins, CNN",2018-03-18T17:54:17Z,1,0.7857142857,0.1785714286,0,0
104,"First Lady Melania Trump is prepared the first state dinner hosted by the Trump administration for French President Emanuel Macron and his wife, Brigitte.",Melania Trump gives sneak peek at state dinner decor,,2018-04-24T06:50:44Z,1,0.2222222222,0.1666666667,0,0
105,"Ivana Trump says she doesn't think it's necessary for her ex-husband, Donald Trump, to run for re-election in 2020, according to an interview with Page Six.",Ivana Trump doesn't think Donald should run for re-election,"Maegan Vazquez, CNN",2018-04-23T14:00:54Z,1,1,0,0,0
106,"Trump lawyer Michael Cohen's office was raided by the FBI, and President Trump mulls retaliation in Syria. Watch the White House press briefing live with Sarah Sanders.",White House press briefing,,2018-04-10T17:35:37Z,1,0.25,0.0681818182,0,0
107,Former White House press secretary Sean Spicer challenges James Comey's account of Trump Tower anti-Trump dossier briefing; reaction from Dr. Sebastian Gorka on 'Hannity.',Spicer: Comey's account of dossier briefing is misleading,,2018-04-17T02:20:17Z,2,0,0,0,0
108,"On Tuesday morning, President Donald Trump and first lady Melania Trump formally welcomed French President Emmanuel Macron and his wife Brigitte to the White House.",The Point: 9 thoughts on that epic Trumps-Macrons White House picture,"Analysis by Chris Cillizza, CNN Editor-at-large",2018-04-24T16:06:12Z,1,0.1111111111,0.0833333333,0.2,0.05
109,"Sen. Lindsey Graham (R-SC) responds to President Trump's request for a military parade, telling CNN's Manu Raju it's ""cheesy and shows weakness.""",Graham: Trump parade shows weakness,,2018-02-07T18:38:18Z,1,0.4444444444,-0.2833333333,0.2333333333,-0.25
110,"President Donald Trump walks away from a turbulent week with a major political victory in the form of a massive $300 billion budget deal that will increase the leverage he has on immigration policy and weaken the Democrats, Julian Zelizer writes.",A big victory for Trump,"Julian Zelizer, CNN Political Analyst",2018-02-09T15:56:21Z,1,0.5333333333,0.0208333333,0.1,0
111,CNN's Jeff Zeleny reports on the President's address to the nation.,Trump avoids mention of guns,,2018-02-15T22:42:47Z,1,0,0,0,0
112,"Democrats on Capitol Hill slammed President Donald Trump's budget proposal and infrastructure plan, arguing Monday it doesn't address the needs of the American people.",Democratic senators slam Trump budget,"Daniella Diaz, CNN",2018-02-13T00:07:56Z,1,0,0,0,0
113,CNN's chief legal analyst Jeffrey Toobin derides President Trump's decision to block the release of the Democratic rebuttal to the Republican intelligence memo alleging FBI abuses of its surveillance authority,Toobin: Trump censoring Democrats' argument,,2018-02-10T14:40:40Z,1,0.2,0.2,0,0
114,President Trump is expected to signal today that he wants a GOP memo alleging the the FBI abused its surveillance tools released. Follow here for live updates.,President Trump today: Live updates,"Meg Wagner, CNN",2018-02-02T13:31:23Z,1,0.3333333333,0.0787878788,0.5,0.1363636364
115,"President Donald Trump on Wednesday again publicly chastised his attorney general, Jeff Sessions, this time over an investigation into alleged surveillance abuses.",Trump again calls out Sessions,"Maegan Vazquez, CNN",2018-02-28T15:05:06Z,1,0.2222222222,-0.0166666667,0,0
116,Trump tweets 'mission accomplished' after joining forces with the U.K. and France to launch strikes in Syria; former Trump campaign manager Corey Lewandowski reacts.,Corey Lewandowski: Syria strike was perfectly executed,,2018-04-14T12:42:47Z,2,0.25,0.1,1,1
117,"Two new polls, taken before President Donald Trump launched airstrikes on Syria Friday night, spell bad news for Trump and his political party.",Two polls show Trump approval below 40% and Democratic excitement for 2018,"Caroline Kenny, CNN",2018-04-15T16:41:08Z,1,0.4070707071,-0.1878787879,0,0
118,President Trump welcomed French President Emanuel Macron to the White House Tuesday evening for the first state dinner of the Trump administration.,Trump hosts Macron at first White House state dinner,Samuel Chamberlain,2018-04-25T01:07:47Z,2,0.1111111111,0.0833333333,0.1666666667,0.125
119,"First Lady Melania Trump is prepared the first state dinner hosted by the Trump administration for French President Emanuel Macron and his wife, Brigitte.",Melania Trump gives sneak peek at state dinner decor,,2018-04-24T07:16:58Z,1,0.2222222222,0.1666666667,0,0
120,"President Trump hosts the 2017 World Series Champions, the Houston Astros, as the White House deals with continued fallout over Stormy Daniels. Follow here for the latest.",President Trump today,,2018-03-12T15:35:49Z,1,0.45,0.25,0,0
121,President Trump is threatening to veto the spending bill Congress passed just after midnight. See the latest.,Trump threatens a shutdown,,2018-03-23T14:35:08Z,1,0.9,0.5,0,0
122,Trump draws flak over Mueller indictments.,Media furor as Russians charged,,2018-02-18T16:18:56Z,2,0,0,0,0
123,Former Trump campaign aide responds on 'Hannity.',Exclusive: Carter Page reacts to the Democrats' memo,,2018-02-27T02:44:24Z,2,0,0,0,0
124,"Alec Baldwin returned to ""Saturday Night Live"" as President Donald Trump to discuss the ratings of his State of the Union address, meanwhile Cecily Strong's Melania Trump got advice from former first ladies.",First ladies give Melania advice on 'SNL',,2018-02-04T07:55:50Z,1,0.3916666667,0.2049242424,0.3333333333,0.25
125,"After more than a year of investigation, there's still no evidence of Donald Trump working with Russia himself to steal the presidential election. But there's evidence suggesting Democrats and others tried to conspire against Trump. #Tucker","No proof of Russian collusion, but of anti-Trump conspiracy",,2018-02-08T01:17:16Z,2,0.5,0.5,0,0
126,"CNN's Van Jones says ""things are exactly what they appear to be"" in response to a New York Times report about an alleged phone conversation between Hope Hick's and President Donald Trump regarding emails between Trump Jr. and Russians.",Van Jones: Campaign was up to no good,,2018-02-01T03:56:57Z,1,0.2681818182,0.0954545455,0.6,-0.35
127,The New York Times reports a former Trump legal team spokesman is ready to tell Special Counsel Robert Mueller that Hope Hicks once said Donald Trump Jr.'s emails about his meeting with a Russian lawyer would 'never get out.',Hope Hicks' attorney denies New York Times report,,2018-02-01T21:02:53Z,2,0.2876623377,0.1489177489,0.4545454545,0.1363636364
128,"President Donald Trump and first lady Melania Trump, aiming to honor the victims of Wednesday's school shooting in Parkland, Florida, visited Broward Health North Hospital on Friday, the hospital where many of the victims were treated.",Trump visits Florida hospital to honor victims of Parkland shooting,"Kevin Liptak, Dan Merica and Allie Malloy, CNN",2018-02-16T23:55:52Z,1,0.4166666667,0.375,0,0
129,Former Director of National Intelligence James Clapper tells CNN's Anderson Cooper that he thinks more details about the financial relationships between the Trump organization before the election and the Trump campaign will surface in the Mueller investigatio…,Clapper: More shoes will drop in the Russia probe,,2018-02-18T03:54:53Z,1,0.1666666667,0.1666666667,0.5,0.5
130,Counselor to President Trump Kellyanne Conway says Trump has full faith in Chief of Staff John Kelly and has no plans to replace him in the wake of Rob Porter's resignation.,Conway: Trump has full faith in John Kelly,,2018-02-11T15:15:49Z,1,0.55,0.35,0.55,0.35
131,"First lady Melania Trump eschewed the traditional South Lawn couple's walk to Marine One on Friday amid another adultery allegation scandal, opting instead to drive separately ahead of President Donald Trump.",Melania Trump arrives solo to air base as first couple heads to Florida,Kate Bennett,2018-02-16T20:12:44Z,1,0.5416666667,0.125,0.6666666667,-0.275
132,"Ohio Republican Gov. John Kasich, a prominent critic of President Donald Trump, said Monday that Trump deserves credit for his statement calling for a ban on bump fire stocks.",Kasich: Trump 'deserves credit' on bump fire stocks,"Eli Watkins, CNN",2018-02-27T02:30:40Z,1,1,0.5,0,0
133,President Trump spoke about his agenda and achievements at CPAC 2018; Nigel Farage weighs in on 'The Ingraham Angle' about what Trump and Republicans need to do to succeed in the midterms.,Nigel Farage: Trump needs to keep up the momentum from CPAC,,2018-02-24T03:49:27Z,2,0,0,0,0
134,President Nicolas Maduro of Venezuela warned President Trump not to ban the South American country's oil. It's a move the Trump administration is considering to crack down on Maduro's regime.,Maduro warns Trump not to ban Venezuelan oil,Patrick Gillespie,2018-02-15T21:41:16Z,1,0.1444444444,-0.0777777778,0,0
135,"With allegations of an affair between Donald Trump and a former Playboy playmate, Melania Trump finds herself in a situation not dissimilar from her predecessors -- but this time it's at the height of #MeToo movement, writes Kate Andersen Brower.","Melania, Hillary and Jackie: Are the rules about infidelity finally changing?",Kate Andersen Brower,2018-02-19T23:20:17Z,1,0,0,1,0
136,"If there's been one consistent thing about Donald Trump since he emerged as a presidential candidate in June 2015, it's this: When women accuse men of sexual assault or domestic abuse, Trump sides with the men.",Donald Trump believes the men. Always. Unless they're Democrats.,"Analysis by Chris Cillizza, CNN Editor-at-large",2018-02-10T20:50:16Z,1,0.3944444444,0.25,0,0
137,First lady Melania Trump joined President Donald Trump on Air Force One Monday on a trip to Ohio where she split off for a solo event visiting children at Cincinnati Children's Hospital.,"First lady joins Trump on Ohio trip, visits children's hospital","Kate Bennett, CNN",2018-02-06T00:01:15Z,1,0.3333333333,0.25,0.3333333333,0.25
138,"Donald Trump wants you to believe he has ""great respect"" for women, but his words and actions tell a far different story. In fact, Trump may be the most anti-women US president ever.",Opinion: Trump may be the most anti-women US President ever,Dean Obeidallah,2018-02-11T21:39:23Z,1,0.59,0.32,0.5,0.5
139,Donald Trump Jr.'s wife Vanessa Trump and two others were taken to a New York City hospital for evaluation after opening a suspicious envelope containing an unidentified substance.,Vanessa Trump hospitalized after opening suspicious envelope,,2018-02-12T18:25:44Z,2,0.4545454545,0.1363636364,0,0
140,"Donald Trump Jr., the eldest son of the U.S. president, is to make a foreign policy speech at a business summit during his whirlwind trip to India where he has been promoting Trump-brand real estate.",Trump Jr. to give foreign policy speech in India,Associated Press,2018-02-23T10:06:08Z,2,0.2125,0.0375,0.125,-0.125
141,"President Donald Trump read the lyrics of an anti-immigrant song titled ""The Snake"" on Friday, reverting to a campaign staple that Trump has used to criticize United States' immigration policy.","Trump reads 'The Snake,' oft-used lyrics for anti-immigrant song, at CPAC","Dan Merica, CNN",2018-02-23T19:25:12Z,1,0,0,0,0
142,National Enquirer accused of buying her silence.,"Tabloid, Trump and a Playmate",,2018-02-18T16:45:41Z,2,0,0,0,0
143,President Trump speaks at a manufacturing plant in Ohio as Congress works on passing a spending bill before Thursday's government shutdown deadline. Follow here for the latest.,President Trump today: Live updates,"Meg Wagner and Amanda Wills, CNN",2018-02-05T15:26:51Z,1,0.9,0.5,0.5,0.1363636364
144,"President Donald Trump was displeased with Democrats' reactions during his State of the Union address, calling them ""treasonous and un-American."" CNN's Jim Acosta reports.",Trump: Democrats' SOTU reactions 'treasonous',,2018-02-05T22:45:51Z,1,0,0,0,0
145,"The Trump administration outlined its policy priorities on Monday in a budget that calls for billions of dollars to fight the opioid epidemic, secure the country's borders, and overhaul safety net programs.",What's in the Trump budget?,"Gregory Wallace, CNN",2018-02-13T00:19:03Z,1,0.3,0.2,0,0
146,President Trump is expected to announce new North Korea sanctions at the CPAC conference. Follow the latest here.,President Trump today: Live updates,"Amanda Wills and Brian Ries, CNN",2018-02-23T13:51:27Z,1,0.5848484848,0.1787878788,0.5,0.1363636364
147,Turns emotional debate into gripping television.,Trump seizes spotlight on guns,,2018-02-25T16:25:24Z,2,0.825,0.25,0,0
148,The first lady will address the Florida school shooting at a luncheon for governors' spouses at the White House. Follow here for live updates.,Melania Trump speaks: Live updates,"Meg Wagner and Amanda Wills, CNN",2018-02-26T16:33:41Z,1,0.2777777778,0.1287878788,0.5,0.1363636364
149,Refuses traditional pregame interview.,Trump stiffs NBC's Super Bowl,,2018-02-04T16:30:39Z,2,0.75,0,0.6666666667,0.3333333333
150,GOP Councilman Joe Borelli debates Fox News contributor Jehmu Greene debates on 'Fox &amp; Friends First.',Trump welcomes shutdown over immigration,,2018-02-07T12:25:21Z,2,0.3333333333,0.25,0,0
151,President Trump speaks at the congressional GOP retreat as the White House reviews a classified memo alleging FBI surveillance abuses. Follow here for live updates.,President Trump today: Live updates,"Meg Wagner, CNN",2018-02-01T13:26:13Z,1,0.25,0.0681818182,0.5,0.1363636364
152,"President Donald Trump, facing crises like the aftermath of the Parkland shooting and indictments against Russian nationals and entities, is blaming everybody but Russia.",Trump blames everyone but Russia,"Analysis by Dan Merica and Jeff Zeleny, CNN",2018-02-18T16:10:40Z,1,0,0,0,0
153,CNN's Anderson Cooper says President Trump is remarkably forgiving when it comes to certain alleged abusers.,Cooper: Trump forgiving alleged abusers,,2018-02-10T02:29:37Z,1,0.4738095238,0.2880952381,0.1,-0.1
154,Rob Porter forced out after abuse allegations.,Furor over ex-Trump aide,,2018-02-11T16:17:46Z,2,0.2,-0.3,0,0
155,President Trump is expected to use his State of the Union address Tuesday to announce his long-awaited plan for investing in America's infrastructure. Here's what we know about the plan so far.,Trump to unveil infrastructure plan,Lydia DePillis,2018-02-11T22:05:41Z,1,0.7,0,0,0
156,Mueller grand jury indicts 13 Russians and three Russian companies for allegedly interfering in the 2016 presidential election. Indictment does not allege that any of the interference changed the outcome of the presidential race. #Tucker,Trump-Russia collusion case DOA?,,2018-02-17T01:13:23Z,2,0.3666666667,0.1333333333,0,0
157,Stoneman Douglas High School teacher Diane Wolk-Rogers calls out President Trump for 'name calling' following his response to the shooting.,Teacher assigns President Trump 'detention',,2018-02-24T02:26:15Z,1,0.32,0.08,0,0
158,President says he's done more than Obama.,Media hit Trump Russia claim,,2018-02-26T08:46:49Z,2,0.5,0.5,0,0
159,"Fox News Pittsburgh police warn officers to bring 'riot gear' to work in event Trump fires Mueller Fox News Rumors spread by left-leaning groups alleging President Trump will fire special counsel Robert Mueller have begun prompting official action, with Pitts…",Pittsburgh police warn officers to bring 'riot gear' to work in event Trump fires Mueller - Fox News,Greg Norman,2018-04-18T18:00:53Z,2,0.3357142857,0.2285714286,0,0
160,"Fox News Trump now backs marijuana 'states rights' bill, senator says Fox News President Donald Trump has reportedly lent his support to a U.S. senator from Colorado, promising to back legislation that “protects states' rights” on legalized marijuana. The pre…","Trump now backs marijuana 'states rights' bill, senator says - Fox News",Elizabeth Zwirz,2018-04-14T05:27:44Z,2,0.25,0.1,0,0
161,"President Donald Trump was outraged after news broke that his personal lawyer's office was raided by the Feds. There's been rumors President Trump is considering firing Robert Mueller or some some high ranking Department of Justice officials, but would that s…",(VIDEO) Michael Cohen Raid Fallout: Judge Napolitano On Who President Trump Can And Can’t Fire,Tom Sullivan Show,2018-04-11T21:18:06Z,2,0.6133333333,-0.2466666667,0,0
162,Fox News Michael Cohen raid rattles Trump allies: Did feds seize president's communications? Fox News The president disputes claims that his long-time lawyer Michael Cohen could turn against him while under investigation. While Deputy Attorney General Rod Ros…,Michael Cohen raid rattles Trump allies: Did feds seize president's communications? - Fox News,Adam Shaw,2018-04-23T13:08:22Z,2,0.5,0.05,0,0
163,Fox News Trump attacks 'garbage' Washington Post; calls Kelly story 'hit job' Fox News Trump announces plan to send National Guard troops to the border; Washington Examiner White House correspondent Sarah Westwood provides insight. President Trump on Sunday l…,Trump attacks 'garbage' Washington Post; calls Kelly story 'hit job' - Fox News,Joseph Weber,2018-04-08T14:15:16Z,2,0,0,0,0
164,"Fox News Trump sanctions on Russia: This is as far from 'collusion' as you can get Fox News Stephen Cohen, professor of Russian studies at New York University, says on 'The Ingraham Angle' that the goal posts are always being moved when it comes to how tough …",Trump sanctions on Russia: This is as far from 'collusion' as you can get - Fox News,Robert Charles,2018-04-07T14:29:40Z,2,0.571969697,-0.0381313131,1,0.1
165,Former Trump campaign manager talks about his testimony before the House Intelligence Committee and the upcoming meeting between President Trump and Kim Jong Un.,Lewandowski: Collusion probe is a 'political ploy' by Dems,,2018-03-12T14:47:17Z,2,0,0,0.1,0
166,Former Trump campaign aide Sam Nunberg tells CNN's Anderson Cooper that he doesn't think Robert Mueller's investigation is a witch hunt against President Donald Trump.,Nunberg: Russia investigation not a witch hunt,,2018-03-13T01:14:59Z,1,0,0,0,0
167,"As former Trump aide Sam Nunberg vows to defy Mueller subpoena, new revelations about Christopher Steele Trump-Russia dossier surfaces. #Tucker",When will subpoenas go out on the 'real' Russia collusion?,,2018-03-06T01:27:21Z,2,0.2272727273,0.0681818182,0.3,0.2
168,First Lady Melania Trump once again skipped a walk to Marine One with Pres. Trump amid new details of an alleged affair. CNN's Kate Bennett reports.,FLOTUS skips walk with husband amid affair claims - CNN Video,,2018-03-23T22:16:18Z,1,0.295959596,0.0954545455,0,0
169,Trump faces criticism from conservatives after signing a massive spending bill. Former Trump campaign manager Corey Lewandowski weighs in on 'The Story.',Lewandowski on the spending bill: This can't happen again,,2018-03-23T23:31:54Z,2,0.5,0,0,0
170,"Special council Robert Mueller's team wanted ex-Trump adviser Rick Gates to reveal any contacts the Trump campaign had with Russians, documents show.",Mueller pushed for Gates' help on collusion,,2018-03-29T22:29:34Z,1,0.5714285714,0.3571428571,0,0
171,"Former Vice President Joe Biden regrets saying that if he were in high school, he would fight President Donald Trump over the way Trump has talked about women.",Biden: 'I shouldn't have said' I would fight Trump,"Clare Foran, CNN",2018-03-28T20:13:07Z,1,0.2466666667,0.02,0,0
172,"CNN's Erin Burnett breaks down the series of departures from the Trump administration, and wonders whether President Trump is having issues firing people directly.",Erin Burnett: Is Trump scared to say 'You're fired'?,,2018-04-03T00:06:58Z,1,0.3444444444,-0.0277777778,0,0
173,"HLN host S.E. Cupp addresses Melania Trump amid Stormy Daniel's allegations against President Donald Trump, advising Melania to leave her ""jerk of a husband.""",S.E. Cupp to Melania: Don't be like Hillary,,2018-03-28T01:39:24Z,1,0,0,0,0
174,8-year-old penned an emotional plea to President Trump about his sick father; father and son react on 'Fox &amp; Friends' after Trump writes touching letter back.,Trump responds to boy seeking a kidney to save his father,,2018-03-30T11:59:05Z,2,0.5017857143,-0.0535714286,0,0
175,"Fox News Melania Trump follows five people on her first lady Twitter handle, including former President Obama Fox News Social media users discovered one of the five people first lady Melania Trump follows on her FLOTUS Twitter handle includes former President…","Melania Trump follows five people on her first lady Twitter handle, including former President Obama - Fox News",Kathleen Joyce,2018-02-07T17:28:56Z,2,0.1466666667,0.1066666667,0.1666666667,0.125
176,"Fox News Clinton associates fed information to Trump dossier author Steele, memo says Fox News Clinton associates were ""feeding"" allegations to former British spy Christopher Steele at the same time he was compiling the controversial anti-Trump dossier paid f…","Clinton associates fed information to Trump dossier author Steele, memo says - Fox News",Catherine Herridge,2018-02-05T16:02:03Z,2,0.26875,0.1375,0,0
177,Fox News Defiant ESPN star Jemele Hill on claim Trump is a white supremacist: 'I still stand by what I said' Fox News ESPN's outspoken anti-Trump personality Jemele Hill appeared on ABC News' “The View” Wednesday to double down on her infamous tweet in which …,Defiant ESPN star Jemele Hill on claim Trump is a white supremacist: 'I still stand by what I said' - Fox News,Brian Flood,2018-02-21T17:27:17Z,2,0.3222222222,-0.1638888889,0,0
178,Fox News Bobsledder Lauren Gibbs fires back at critics who slammed her photos with Ivanka Trump Fox News Lauren Gibbs takes a selfie with Ivanka Trump during the final day of competition at the Winter Olympics Sunday. (AP). American silver medal-winning bobsl…,Bobsledder Lauren Gibbs fires back at critics who slammed her photos with Ivanka Trump - Fox News,Samuel Chamberlain,2018-02-28T13:07:31Z,2,0.3333333333,0,0,0
179,First lady Melania Trump will accompany President Donald Trump to Saturday night's annual Gridiron Club Dinner in a rare Washington outing for the first couple.,First lady Melania to attend Gridiron dinner with Trump,"Veronica Stracqualursi, CNN",2018-03-03T19:43:08Z,1,0.5222222222,0.2666666667,0.3333333333,0.25
180,House Intelligence Committee finds no collusion evidence. President Trump heads to California to view border wall prototypes. Son of President Trump speaks out on 'Fox &amp; Friends.',Trump Jr.: Collusion is Dems' talking point for 2018,,2018-03-13T12:12:47Z,2,0,0,0,0
181,"Trump has the lowest approval rating for any president at this point in their presidency. Yet, Trump is actually more popular than he was when he was elected.","Trump is unpopular, but he's actually gained support since Election Day","Analysis by Harry Enten, CNN",2018-03-02T13:07:26Z,1,0.7,0.55,0.1,0
182,Former Trump campaign aide Sam Nunberg tells CNN's Erin Burnett that he doesn't care what President Trump allies are saying about him and his state of mind.,Nunberg: I don't care what White House is saying about me,,2018-03-06T00:31:12Z,1,0,0,0,0
183,"President Donald Trump says his administration will impose tariffs on steel and aluminum imports next week, a highly controversial move that Trump framed along national security lines.",Trump: You don't have a country without steel,,2018-03-02T07:33:39Z,1,0.475,0.275,0,0
184,House Intelligence Committee finds no collusion evidence. President Trump heads to California to view border wall prototypes. Son of President Trump speaks out on 'Fox &amp; Friends.',Trump Jr.: Collusion is Dems' talking point for 2018,,2018-03-13T12:12:47Z,2,0,0,0,0
185,The Trump administration announced Wednesday that President Trump will sign a proclamation to send the National Guard to the border immediately.,Trump to sign proclamation sending National Guard to the border immediately,Fox News,2018-04-04T19:40:18Z,2,0,0,0,0
186,President Donald Trump will attend a private dinner benefiting pro-Trump super PAC America First Action on Wednesday night in Washington.,Trump to dine with super PAC donors on Wednesday,"Dan Merica and Elizabeth Landers, CNN",2018-04-04T16:44:57Z,1,0.36875,0.1708333333,0.6666666667,0.3333333333
187,Fox News Trump: 'Disgraceful' that illegal immigrant killed Colts linebacker Edwin Jackson Fox News Police reveal the suspected drunk driver who struck a car carrying Indianapolis Colts linebacker Edwin Jackson had been deported twice. President Trump on Tues…,Trump: 'Disgraceful' that illegal immigrant killed Colts linebacker Edwin Jackson - Fox News,Judson Berger,2018-02-06T14:09:27Z,2,0.5,-0.4,0.25,-0.35
188,TheBlaze.com Trump tells Israeli paper Jerusalem move was 'big point' Fox News JERUSALEM – An Israeli newspaper is quoting President Donald Trump as saying his recognition of Jerusalem as the country's capital was one of his biggest moves thus far as the U.S.…,Trump tells Israeli paper Jerusalem move was 'big point' - Fox News,Associated Press,2018-02-09T15:11:25Z,2,0.55,0.05,0.1,0
189,"Fox News Trump hails 'big victory' after judge upholds border wall project Fox News President Trump on Wednesday hailed a “big victory” in the courts for his proposed border wall, after a federal judge ruled against an environmental challenge to Trump's centr…",Trump hails 'big victory' after judge upholds border wall project - Fox News,Adam Shaw,2018-02-28T14:48:45Z,2,0.1,0,0.1,0
190,"CNN Trump: European Union has 'been brutal' to the US CNN (CNN) President Donald Trump said Saturday that the European Union's trade policies have ""been brutal"" to the United States, a sentiment he shared both online and in person after EU leaders condemned h…",Trump: European Union has 'been brutal' to the US - CNN,Devan Cole,2018-03-04T01:08:00Z,1,0.5,-0.4375,0.5,-0.4375
191,"Fox News Trump says Australia could be exempt from steel, aluminum tariffs Fox News President Trump said Friday Australia could be exempt from the newly imposed tariffs on aluminum and steel imports, suggesting Australia's commitment to a “very fair” and “rec…","Trump says Australia could be exempt from steel, aluminum tariffs - Fox News",Brooke Singman,2018-03-09T23:20:37Z,2,0.7272727273,0.5231818182,0,0
192,"Fox News Jim Carrey 'submits' semi-nude Trump painting to National Portrait Gallery, sparks reactions Fox News Comedian Jim Carrey has come under fire for his recent paintings of Sarah Sanders, Facebook founder Mark Zuckerberg, and one depicting Trump as the …","Jim Carrey 'submits' semi-nude Trump painting to National Portrait Gallery, sparks reactions - Fox News",Jennifer Earl,2018-03-30T19:35:05Z,2,0.25,0,0,0
193,Fox News Trump expressed hope to see Rob Porter return to White House: report Fox News President Donald Trump has reportedly told some advisers that he hopes Rob Porter—his former staff secretary who exited his job after domestic violence allegations surfaced…,Trump expressed hope to see Rob Porter return to White House: report - Fox News,Lukas Mikelionis,2018-03-27T09:58:27Z,2,0.0333333333,0,0,0
194,"Michael D'Antonio says Jared Kushner and Ivanka Trump, increasingly a source of controversy in the troubled Trump administration, should go home to New York.",'Javanka' should follow Hope Hicks out the door,Michael D'Antonio,2018-03-01T20:22:47Z,1,0.7272727273,-0.1818181818,0,0
195,"President Donald Trump is striking back at former Vice President Joe Biden for suggesting he would ""beat the hell out of"" Trump if they were in high school.",Trump: Biden 'would go down fast and hard' in a fight,"Veronica Stracqualursi, CNN",2018-03-22T10:49:27Z,1,0.385,0.165,0.4768518519,-0.0824074074
196,"Vanessa Trump reportedly filed for divorce from her husband, President Trump’s eldest son, Donald Trump Jr. on Thursday in New York City.",Donald Trump Jr.'s wife files for divorce: report,Brooke Singman,2018-03-15T22:48:15Z,2,0.4545454545,0.1363636364,0,0
197,Former Trump deputy campaign manager David Bossie says Americans sees no evidence of collusion between Russia and the Trump campaign and that 'scandal fatigue' is real.,David Bossie says public is 'tuning out' the Russia probe,,2018-03-05T18:46:12Z,2,0.15,0.1,0.0666666667,0
198,"Sen. Heidi Heitkamp (D-ND), who represents Trump country, says Hillary Clinton cannot go away ""soon enough"" after Clinton made disparaging comments about Trump voters.",Democratic senator: Go away Hillary Clinton,,2018-03-30T05:57:03Z,1,0.5,0,0,0
199,Liberals and the destroy Trump media are ignoring the evidence and trying to claim that President Trump fired the former FBI deputy director.,Hannity: Proof the deep state is real,,2018-03-20T01:32:57Z,2,0,-0.1,0.35,0.1
200,Trump attorney says 'conflicts' prevent lawyers from representing Trump on his special counsel legal team; chief intelligence correspondent Catherine Herridge reports.,"Sekulow: Joe diGenova, Toensing won't join Trump legal team",,2018-03-26T20:06:22Z,2,0.3857142857,0.2785714286,0.2,0.2
201,"Fox News Jimmy Kimmel calls on Trump, GOP to 'do something' following Florida school shooting Fox News Jimmy Kimmel called on President Trump and Republican lawmakers to do something about gun control following Wednesday's school shooting in Florida that kill…","Jimmy Kimmel calls on Trump, GOP to 'do something' following Florida school shooting - Fox News",Kathleen Joyce,2018-02-16T13:52:31Z,2,0.1,0,0.1,0
202,"CNNMoney Stelter: The 'Oprah 2020' story isn't going away. Trump just made sure of it CNNMoney Oprah Winfrey says she is ""not running"" for president right now, but she has not ruled it out in private conversations, according to three confidants who spoke with…",Stelter: The 'Oprah 2020' story isn't going away. Trump just made sure of it - CNNMoney,Brian Stelter,2018-02-19T15:57:16Z,1,0.5998677249,0.2619047619,0.8888888889,0.5
203,Fox News Trump and the Russia investigation: What to know Fox News President Trump and the Kremlin have denied allegations that Russia and the Trump campaign colluded in the 2016 presidential election – but the probe into Russia's meddling is forging ahead. A…,Trump and the Russia investigation: What to know - Fox News,Kaitlyn Schallhorn,2018-02-26T17:21:26Z,2,0,0,0,0
204,"Fox News Multimillionaire Robert De Niro slams 'rich,' 'spoiled' Trump at charity event Fox News The actor felt it was appropriate to call out Trump while speaking at a charity event in Los Angeles on Tuesday. De Niro called Trump ""rich"" and ""spoiled"" while s…","Multimillionaire Robert De Niro slams 'rich,' 'spoiled' Trump at charity event - Fox News",Sasha Savitsky,2018-03-14T17:14:32Z,2,0.6666666667,0.4166666667,0.75,0.375
205,"Fox News Trump, in campaign-style speech, promises the wall: 'We're getting that sucker built!' Fox News President Trump addresses supporters in Richfield, Ohio, talking border security and building a border wall. President Trump touted the early stages of co…","Trump, in campaign-style speech, promises the wall: 'We're getting that sucker built!' - Fox News",Brooke Singman,2018-03-29T19:47:46Z,2,0.55,-0.1375,0.8,-0.375
