sno,description,title,author,publishedAt,source,desc_subjectivity,desc_polarity,titl_subjectivity,titl_polarity
22,"Fox News Suspect in 'white powder' letter to Trump Jr. donated to Dems, posted anti-Trump rants on Facebook Fox News Donald Trump Jr.'s wife Vanessa Trump was hospitalized in New York City after opening a letter containing a suspicious white substance that wa…","Suspect in 'white powder' letter to Trump Jr. donated to Dems, posted anti-Trump rants on Facebook - Fox News",Lukas Mikelionis,2018-03-02T09:48:42Z,2,0.1515151515,0.0454545455,0,0
23,"Football's debate on race and patriotism in America was intensified and elevated by President Donald Trump's unrelenting war with the NFL, which sparked unprecedented protests on and off the field.",Donald Trump vs. football,"Deena Zaru, CNN",2018-02-03T13:06:37Z,1,0.9,0.6,0,0
24,Story says they oppose Mueller interview.,Leak by Trump lawyers?,,2018-02-12T08:58:09Z,2,0,0,0,0
25,"Amid widespread uncertainty over what Washington will do about guns in the wake of the Parkland, Florida, school shooting that left 17 people dead, Donald Trump grabbed the presidential mantle with a series of tweets on ... Russia.",Trump tweets reveal obsession,"Analysis by Chris Cillizza, CNN Editor-at-large",2018-02-27T14:36:02Z,1,0.2,-0.1,0,0
26,"Legendary music producer Quincy Jones accused President Donald Trump and ""uneducated rednecks"" of stoking racial tensions in America, while also claiming that he once dated Ivanka Trump.",Quincy Jones blasts 'crazy' Trump,"Deena Zaru, CNN",2018-02-07T21:14:21Z,1,1,1,0.9,-0.6
27,President Trump said the recently released memo alleging intelligence abuse during the FBI investigation into the 2016 Trump campaign “totally vindicates” him.,"Trump: Declassified memo 'vindicates' him, shows Russia investigation a 'witch hunt'",Joseph Weber,2018-02-03T16:14:15Z,2,0.5,0,0,0
28,Donald Trump Jr.'s wife Vanessa Trump was hospitalized in New York City after opening a letter containing a suspicious white substance that was later deemed 'non-hazardous.',Powder sent to Donald Trump Jr.'s home deemed non-hazardous,,2018-02-12T23:19:10Z,2,0.1515151515,0.0454545455,0,0
29,"Donald Trump Jr.’s wife, Vanessa Trump, was hospitalized Monday after receiving a letter containing white powder, New York City police told Fox News.",Donald Trump Jr.'s wife hospitalized after opening envelope with white powder,Katherine Lam,2018-02-12T18:19:48Z,2,0.2272727273,0.0681818182,0,0
30,Trump delivered energized CPAC speech; 'Justice' host Jeanine Pirro reacts to the president's remarks and discusses latest reports about anti-Trump dossier on 'Hannity.',Jeanine Pirro: Trump is delivering on his promises,,2018-02-24T02:59:39Z,2,0.9,0.5,0,0
31,"Donald Trump has spent most of his adult life telling himself a story about a brave, ruthless and fearsome man named ""Donald Trump.""",The Point: Donald Trump has a MAJOR Walter Mitty complex,"Analysis by Chris Cillizza, CNN Editor-at-large",2018-02-26T21:55:42Z,1,0.58,0.06,0.45,-0.11875
32,"Fox News Trump on preventing mass shootings: 'we're going to get it done' Fox News Students, teachers and officials speak about gun violence with President Trump after school shooting in Parkland, Florida. President Trump said Wednesday the administration is …",Trump on preventing mass shootings: 'we're going to get it done' - Fox News,Brooke Singman,2018-02-21T22:26:34Z,2,0,0,0,0
33,Harvey Weinstein and President Trump Pulitzer Prizes: Will #MeToo and Trump exclusives triumph?,Pulitzer Prizes: Will #MeToo and Trump exclusives triumph?,Brian Stelter,2018-04-16T15:17:22Z,1,0,0,0,0
34,"Read CNN's Fast Facts on Melania Trump, wife of US President Donald Trump.",Melania Trump Fast Facts,CNN Library,2018-04-08T23:26:44Z,1,0.6,0.2,0.6,0.2
35,"Fox News Trump Jr. steals spotlight from Canada's Trudeau as India visits coincide Fox News Donald Trump Jr. is seen in New Delhi, India, during his business trip this week. The eldest son of President Donald Trump is looking to sell luxury apartments. (Assoc…",Trump Jr. steals spotlight from Canada's Trudeau as India visits coincide - Fox News,Lukas Mikelionis,2018-02-21T06:26:42Z,2,0.4545454545,0.1363636364,0,0
36,Former Trump campaign manager says the idea that there was collusion between the Trump campaign and Russia is 'an absolute fallacy.',Lewandowski: Russian indictments a 'positive step' for Trump,,2018-02-19T18:37:37Z,2,0.45,0.1,0.2727272727,0.1136363636
37,President Donald Trump and first lady Melania Trump are set to host a reception at the White House on Tuesday honoring Black History Month.,White House hosts Black History Month event,"Jeremy Diamond, CNN",2018-02-13T21:59:52Z,1,0.2555555556,0.0277777778,0.2166666667,-0.0833333333
38,Trump used notecard during listening session with victims of gun violence; Media Research Center President Brent Bozell reacts to media criticisms of Trump.,Trump's 'I hear you' notecard criticized by media,,2018-02-22T22:09:02Z,2,0.1,-0.1,0,0
39,Trump met with Democrats and Republicans about solutions for preventing mass shootings; Senator Joe Manchin says on 'Your World' that Trump supports common sense back ground check changes.,Manchin talks Trump's bipartisan meeting on gun control,,2018-02-28T22:09:53Z,2,0.25,-0.15,0,0
40,"Hope Hicks, White House communications director and longtime aide to Trump, is resigning from her post; former Trump deputy campaign manager David Bossie reacts on 'The Story.'",David Bossie reacts to Hope Hicks' resignation,,2018-03-01T00:19:01Z,2,0,0,0,0
41,"As President, Donald Trump is quick to tout record highs in stocks. But as a candidate, Trump repeatedly warned of an inflated market ""bubble.""",Trump's shifting views on stock market highs,,2018-02-05T21:11:10Z,1,0.5,0.3333333333,0,0
42,"The majority owner of a Trump-branded hotel in Panama alleges the Trump Organization misled the property's staff, according to a letter obtained by CNN.",Fight heats up between Trump Organization and hotel owner in Panama over management,"Cristina Alesci, CNN",2018-02-26T01:51:46Z,1,0,0,0,0
