sno,description,title,author,publishedAt,source,desc_subjectivity,desc_polarity,titl_subjectivity,titl_polarity,,,,
22,Author and radio host Mark Steyn on revelation that Hillary Clinton refused to fire adviser accused of sexual harassment and her appearances in bizarre video and at the Grammys. #Tucker,Steyn: Hillary 'activist b----es' video 'pathetic',,2018-01-30T02:00:56Z,2,0.7166666667,0.45,1,-1,,,,
23,"CNN investigation reveals that in 2016 Russians made the anti-Hillary Clinton video game ""Hilltendo.""",Russians released anti-Clinton video game weeks before election,Jose Pagliery and Donie O'Sullivan,2018-03-08T17:48:36Z,1,0.4,-0.4,0.4,-0.4,,,,
24,Hillary Clinton is 'committed' to speaking out. Social media stars also discuss the 'Roseanne' comeback.,"Diamond & Silk: Time for Hillary to go somewhere, be quiet",,2018-03-30T10:54:43Z,2,0.0666666667,0.0333333333,0.3333333333,0,,,,
25,Hillary Clinton is still taking jabs at President Trump. Panel debates the remarks.,Are Hillary's comments hurting Dems leading to midterms?,,2018-04-04T12:50:10Z,2,0,0,0,0,,,,
26,Hillary Clinton claims she won places that are 'dynamic' and that Trump's campaign 'was looking backwards.',Gutfeld on Hillary's catastrophic speech in India,,2018-03-13T22:19:40Z,2,0.1666666667,0,0,0,,,,
27,Hillary Clinton blames dozens of reasons for her election loss. Panel debates the reasons.,Time for Hillary to accept responsibility for 2016 loss?,,2018-03-14T11:38:42Z,2,0,0,0,0,,,,
28,"Mark Penn, a former aide to Hillary Clinton, reacts to Rep. Devin Nunes' FISA abuse memo.",Former Clinton strategist: Memo raises serious questions,,2018-02-03T19:04:46Z,2,0,0,0.3333333333,-0.1666666667,,,,
29,Politico: Sanders blames Hillary for allowing Russian interference in the 2016 election; reaction on 'Outnumbered.',"Boothe, Harf debate Russian interference in 2016 election",,2018-02-22T17:36:13Z,2,0,0,0,0,,,,
30,Michael Goodwin: Did Hillary Clinton pull off the dirtiest dirty trick in US presidential history? foxnews.com,Michael Goodwin: Did Hillary Clinton pull off the dirtiest dirty trick in US presidential history?,Michael Goodwin,2018-02-12T09:02:57Z,2,0.8,-0.6,0.8,-0.6,,,,
31,"Hillary Clinton spoke in India recently and appeared to once again intentionally insult Donald Trump voters.

Are Hillary Clinton's latest comments worse than her 'deplorables' remark? Tom Shillue thinks so, and asks Jessica Tarlov and Tom Cotter, on The To…",(VIDEO) Were Hillary Clinton’s Latest Comments WORSE Than Her Deplorables Remark? Yes.,Tom Sullivan Show,2018-03-14T19:48:03Z,2,0.5833333333,0.0333333333,0.75,0.05,,,,
32,"Web Exclusive Full Interview: Former Hillary Clinton Communications Director Jennifer Palmieri tells Tucker why her new book is not strictly a political book, what she took away from Hillary Clinton's presidential campaign, her advice for young women entering…",Jennifer Palmieri: The story behind 'Dear Madame President',,2018-03-30T01:08:02Z,2,0.3009090909,0.1172727273,0.7,-0.4,,,,
33,James Comey also apologizes to Hillary Clinton. Jackie Ibanez reports on the latest.,Fired FBI Director Comey's memoirs ignite firestorm,,2018-04-13T08:54:36Z,2,0.9,0.5,0,0,,,,
34,"Hillary Clinton won’t go away, so conservatives are giving her a seat at the table.","Hillary Clinton, not on ballot, is star of GOP midterm plan",Frank Miles,2018-04-23T00:02:10Z,2,0,0,0,0,,,,
35,Nigerian author Chimamanda Adichie is upset with Hillary Clinton over her Twitter bio.,Why is Nigerian author Chimamanda upset with Hillary Clinton?,"Munachim Amah and Bukola Adebayo, CNN",2018-04-24T15:57:09Z,1,0,0,0,0,,,, 
36,"Fox News Clinton campaign app may have harvested Facebook data of millions Fox News Hillary Clinton takes the stage during the LA Promise Fund's Girls Build Leadership summit in Los Angeles, Dec. 15, 2017. (Reuters). Hillary Clinton's 2016 presidential campai…",Clinton campaign app may have harvested Facebook data of millions - Fox News,Lukas Mikelionis,2018-03-30T07:03:10Z,2,0,0,0,0,,,,
37,"Fox News Steve Hilton: Hillary Clinton's 'Deplorables 2' moment and why it matters for America's future Fox News First there was the casual sexism: the reason white women didn't back her when she ran for president, Hillary Clinton believes, is “a sort of ongo…",Steve Hilton: Hillary Clinton's 'Deplorables 2' moment and why it matters for America's future - Fox News,Steve Hilton,2018-03-17T18:55:44Z,2,0.265,-0.05,0.125,0,,,,
38,"Fox News Don't blame Hillary Clinton -- 'Dear Madam President' makes more excuses for her election defeat Fox News Jennifer Palmieri, author of 'Dear Madam President,' comments on Hillary Clinton's 2016 presidential campaign and obstacles that women face when…",Don't blame Hillary Clinton -- 'Dear Madam President' makes more excuses for her election defeat - Fox News,Lauren DeBellis Appell,2018-03-30T18:04:34Z,2,0.25,0.225,0.5,0.5,,,,
39,Republicans are getting closer to issuing a subpoena for documents related to the Hillary Clinton email probe; reaction on 'Outnumbered.',Jason Chaffetz urges Congress to stand up for itself,,2018-03-20T17:04:00Z,2,0.4,0,0,0,,,,
40,Hillary Clinton blames dozens of reasons for her 2016 loss. Radio talk show host takes on Elizabeth Warren's Cherokee story.,Carr: Hillary can't take responsibility for her own actions,,2018-03-15T12:23:38Z,2,0,0,1,0.6,,,,
41,Hillary Clinton clarifies criticism of female voters. Jessica Tarlov and Kayleigh McEnany debate the Trump voter comments.,Should Hillary apologize for her criticism of female voters?,,2018-03-20T10:57:59Z,2,0.1666666667,0,0.1666666667,0,,,,
42,Hillary Clinton hits the heartland and Joy Behar jabs Christians. Kayleigh McEnany and Jessica Tarlov debate the issue.,Are Democrats out of touch with American values?,,2018-03-13T11:41:27Z,2,0.2,0.8,0,0,,,,
43,Former presidential candidate Hillary Clinton shares her concerns about the 'wealthy patrons' that support the Republican Party.,Hillary Clinton: Republican Party is being 'held captive',,2018-03-30T00:11:12Z,2,0.5,0.25,0.6,0.2,,,,
44,"The Goldman Sachs CEO, who backed Hillary Clinton in 2016, said he thinks the economy is doing better than if",Lloyd Blankfein: Economy is 'higher' under Trump than if Clinton won,Matt Egan,2018-02-14T15:50:19Z,1,0.5,0.5,0.5,0.25,,,,
45,"Fox411: Hillary Clinton's 'Fire and Fury' reading on Grammys slammed by Nikki Haley, Donald Trump, Jr.","Hillary Clinton Grammy cameo slammed by Haley, Trump Jr.",,2018-01-29T15:45:12Z,2,0,0,0,0,,,,
46,At least one member of the Trump administration wasn't laughing at a skit involving Hillary Clinton.,Nikki Haley wants politics out of her Grammy awards,"Joe Ruiz, CNN",2018-01-29T04:03:46Z,1,0.4,-0.3,0.1,0.2,,,,
47,"By Michael Goodwin, The New York Post For law enforcement, Congress and even journalists, exposing misdeeds is like peeling an onion. Each layer you remove gets you closer to the truth. So it is with the scandalous behavior of the FBI during its probe into wh…",Goodwin: Peeling Back the Layers of Hillary Clinton's Deceit,robinson,2018-02-12T05:23:40Z,2,0.4545454545,0.1363636364,0,0,,,,
48,Which Democrats could challenge President Trump? Editor-at-large for Ballotpedia Scott Rasmussen shares his perspective on 'Fox &amp; Friends First.',Hillary Clinton hitting the campaign trail for Democrats,,2018-02-14T11:18:15Z,2,0.3333333333,0.25,0,0,,,,
49,RNC chairwoman Ronna McDaniel reacts on 'Hannity' after former presidential candidate Hillary Clinton lashes out at her critics.,Ronna McDaniel: Clinton's comments benefit Republicans,,2018-03-31T01:33:59Z,2,0,0,0,0,,,,
50,"Hillary Clinton goes on a post-election, Fox News rant session. Jackie Ibanez weighs in with viewer comments.",Clinton: ‘Don’t think we’ve seen the bottom’,,2018-04-04T10:26:06Z,2,0,0,0,0,,,,
